Image,CommandLine,ParentProcess
C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,Powershell.exe  (Get-packageProvider -name nuget).ProviderPath ,C:\Windows\System32\cmd.exe
C:\Windows\System32\net1.exe,C:\WINDOWS\system32\net1  FILE ,C:\Windows\System32\net.exe
C:\Windows\System32\net.exe,NET  FILE ,C:\Windows\System32\cmd.exe
C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,PowerShell.exe  Get-ExecutionPolicy ,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""10.0."" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""10.0.22"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""6.2."" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""6.1."" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""6.0."" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""5.1."" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""Server 2022"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""Server 2019"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""Server 2016"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""Server 2012"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""Server 2008"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""Server 2003"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""PowerShellGet"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,PowerShell  Get-Module -ListAvailable PowerShellGet ,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""cleanup"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ECHO --use-cleanup """,C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,wmic  OS Get localdatetime /value,C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,C:\WINDOWS\system32\cmd.exe /c wmic OS Get localdatetime /value,C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" set /p=""-13018"" 1>>alpuid.altemp""",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ECHO """,C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" set /p=""-17529"" 1>>alpuid.altemp""",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ECHO """,C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" set /p=""23891"" 1>alpuid.altemp""",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ECHO """,C:\Windows\System32\cmd.exe
C:\Windows\System32\conhost.exe,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,cmd.exe /C C:\WINDOWS\TEMP\pld69E2.tmp.bat T1056.002  --use-cleanup,C:\Windows\System32\rphcp.exe
C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe,"C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe /NOLOGO /READONLY /MACHINE:IX86 ""/OUT:C:\WINDOWS\SystemTemp\RES6A97.tmp"" ""c:\Windows\SystemTemp\ucmkkxk1\CSC5DAF220554C74EA78CB94F6F7BFAECD9.TMP""",C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe
C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe,"""C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe"" /noconfig /fullpaths @""C:\WINDOWS\SystemTemp\ucmkkxk1\ucmkkxk1.cmdline""",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,Powershell.exe  Set-ExecutionPolicy Unrestricted ; Set-MpPreference -DisableRealtimeMonitoring $true ; Install-PackageProvider -Name NuGet -MinimumVersion 2.8.5.201 -Force ; IEX (IWR 'https://raw.githubusercontent.com/redcanaryco/invoke-atomicredteam/master/install-atomicredteam.ps1' -UseBasicParsing); Install-AtomicRedTeam -Force -getAtomics ; Invoke-AtomicTest T1552.006 -CheckPrereqs ; Invoke-AtomicTest T1552.006 -GetPrereqs ; Invoke-AtomicTest T1552.006 ; Invoke-AtomicTest T1552.006 -Cleanup ; Set-MpPreference -DisableRealtimeMonitoring $false ,C:\Windows\System32\cmd.exe
C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe,"""C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe"" /noconfig /fullpaths @""C:\WINDOWS\SystemTemp\g1n5gt0q\g1n5gt0q.cmdline""",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe,"C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe /NOLOGO /READONLY /MACHINE:IX86 ""/OUT:C:\WINDOWS\SystemTemp\RES63A1.tmp"" ""c:\Windows\SystemTemp\ypa4mxq1\CSC2E6E9DCC93E0426AA8A37C7754D2ABC8.TMP""",C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe
C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe,"""C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe"" /noconfig /fullpaths @""C:\WINDOWS\SystemTemp\ypa4mxq1\ypa4mxq1.cmdline""",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe,"""C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe"" /noconfig /fullpaths @""C:\WINDOWS\SystemTemp\nihtr3j1\nihtr3j1.cmdline""",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,Powershell.exe  (Get-packageProvider -name nuget).ProviderPath ,C:\Windows\System32\cmd.exe
C:\Windows\System32\net1.exe,C:\WINDOWS\system32\net1  FILE ,C:\Windows\System32\net.exe
C:\Windows\System32\net.exe,NET  FILE ,C:\Windows\System32\cmd.exe
C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,PowerShell.exe  Get-ExecutionPolicy ,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""10.0."" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""10.0.22"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""6.2."" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""6.1."" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""6.0."" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""5.1."" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""Server 2022"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""Server 2019"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""Server 2016"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""Server 2012"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""Server 2008"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""Server 2003"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""PowerShellGet"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,PowerShell  Get-Module -ListAvailable PowerShellGet ,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""cleanup"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ECHO --use-cleanup """,C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,wmic  OS Get localdatetime /value,C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,C:\WINDOWS\system32\cmd.exe /c wmic OS Get localdatetime /value,C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" set /p=""-7097"" 1>>alpuid.altemp""",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ECHO """,C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" set /p=""-7303"" 1>>alpuid.altemp""",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ECHO """,C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" set /p=""23878"" 1>alpuid.altemp""",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ECHO """,C:\Windows\System32\cmd.exe
C:\Windows\System32\conhost.exe,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,cmd.exe /C C:\WINDOWS\TEMP\pld5909.tmp.bat T1552.006  --use-cleanup,C:\Windows\System32\rphcp.exe
C:\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe,"""C:\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe"" -s NvContainerLocalSystem -a -f ""C:\ProgramData\NVIDIA Corporation\NVIDIA app\NvContainer\NvContainerLocalSystem.log"" -l 3 -d ""C:\Program Files\NVIDIA Corporation\NvContainer\plugins\LocalSystem"" -r -p 30000  -ert",C:\Windows\System32\services.exe
C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,Powershell.exe  Set-ExecutionPolicy Unrestricted ; Set-MpPreference -DisableRealtimeMonitoring $true ; Install-PackageProvider -Name NuGet -MinimumVersion 2.8.5.201 -Force ; IEX (IWR 'https://raw.githubusercontent.com/redcanaryco/invoke-atomicredteam/master/install-atomicredteam.ps1' -UseBasicParsing); Install-AtomicRedTeam -Force -getAtomics ; Invoke-AtomicTest T1110.003 -CheckPrereqs ; Invoke-AtomicTest T1110.003 -GetPrereqs ; Invoke-AtomicTest T1110.003 ; Invoke-AtomicTest T1110.003 -Cleanup ; Set-MpPreference -DisableRealtimeMonitoring $false ,C:\Windows\System32\cmd.exe
C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe,"C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe /NOLOGO /READONLY /MACHINE:IX86 ""/OUT:C:\WINDOWS\SystemTemp\RES5029.tmp"" ""c:\Windows\SystemTemp\1mjhpt21\CSCA0F63C6A69C44C12A3CD518A5ED294C.TMP""",C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe
C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe,"""C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe"" /noconfig /fullpaths @""C:\WINDOWS\SystemTemp\1mjhpt21\1mjhpt21.cmdline""",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,Powershell.exe  (Get-packageProvider -name nuget).ProviderPath ,C:\Windows\System32\cmd.exe
C:\Windows\System32\net1.exe,C:\WINDOWS\system32\net1  FILE ,C:\Windows\System32\net.exe
C:\Windows\System32\net.exe,NET  FILE ,C:\Windows\System32\cmd.exe
C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,PowerShell.exe  Get-ExecutionPolicy ,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""10.0."" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""10.0.22"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""6.2."" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""6.1."" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""6.0."" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""5.1."" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""Server 2022"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""Server 2019"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""Server 2016"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""Server 2012"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""Server 2008"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""Server 2003"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""PowerShellGet"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,PowerShell  Get-Module -ListAvailable PowerShellGet ,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""cleanup"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ECHO --use-cleanup """,C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,wmic  OS Get localdatetime /value,C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,C:\WINDOWS\system32\cmd.exe /c wmic OS Get localdatetime /value,C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" set /p=""-16080"" 1>>alpuid.altemp""",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ECHO """,C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" set /p=""-19097"" 1>>alpuid.altemp""",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ECHO """,C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" set /p=""23861"" 1>alpuid.altemp""",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ECHO """,C:\Windows\System32\cmd.exe
C:\Windows\System32\conhost.exe,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,cmd.exe /C C:\WINDOWS\TEMP\pld46A9.tmp.bat T1110.003  --use-cleanup,C:\Windows\System32\rphcp.exe
C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,Powershell.exe  Set-ExecutionPolicy Unrestricted ; Set-MpPreference -DisableRealtimeMonitoring $true ; Install-PackageProvider -Name NuGet -MinimumVersion 2.8.5.201 -Force ; IEX (IWR 'https://raw.githubusercontent.com/redcanaryco/invoke-atomicredteam/master/install-atomicredteam.ps1' -UseBasicParsing); Install-AtomicRedTeam -Force -getAtomics ; Invoke-AtomicTest T1552.004 -CheckPrereqs ; Invoke-AtomicTest T1552.004 -GetPrereqs ; Invoke-AtomicTest T1552.004 ; Invoke-AtomicTest T1552.004 -Cleanup ; Set-MpPreference -DisableRealtimeMonitoring $false ,C:\Windows\System32\cmd.exe
C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe,"C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe /NOLOGO /READONLY /MACHINE:IX86 ""/OUT:C:\WINDOWS\SystemTemp\RES3C43.tmp"" ""c:\Windows\SystemTemp\c2elqkwd\CSCCCB71E065EDC465BBC574ED8B6F544D.TMP""",C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe
C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe,"""C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe"" /noconfig /fullpaths @""C:\WINDOWS\SystemTemp\c2elqkwd\c2elqkwd.cmdline""",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,Powershell.exe  (Get-packageProvider -name nuget).ProviderPath ,C:\Windows\System32\cmd.exe
C:\Windows\System32\net1.exe,C:\WINDOWS\system32\net1  FILE ,C:\Windows\System32\net.exe
C:\Windows\System32\net.exe,NET  FILE ,C:\Windows\System32\cmd.exe
C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,PowerShell.exe  Get-ExecutionPolicy ,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""10.0."" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""10.0.22"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\svchost.exe,C:\WINDOWS\system32\svchost.exe -k netsvcs -p,C:\Windows\System32\services.exe
C:\Windows\System32\find.exe,"find  ""6.2."" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""6.1."" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""6.0."" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""5.1."" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ver """,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""Server 2022"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""Server 2019"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""Server 2016"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""Server 2012"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""Server 2008"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""Server 2003"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,"wmic  os get Caption,CSDVersion /value ",C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""PowerShellGet"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,PowerShell  Get-Module -ListAvailable PowerShellGet ,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""cleanup"" ",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ECHO --use-cleanup """,C:\Windows\System32\cmd.exe
C:\Windows\System32\wbem\WMIC.exe,wmic  OS Get localdatetime /value,C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,C:\WINDOWS\system32\cmd.exe /c wmic OS Get localdatetime /value,C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" set /p=""-25064"" 1>>alpuid.altemp""",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ECHO """,C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" set /p=""-30891"" 1>>alpuid.altemp""",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ECHO """,C:\Windows\System32\cmd.exe
C:\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe,"""C:\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe"" -s NvContainerLocalSystem -a -f ""C:\ProgramData\NVIDIA Corporation\NVIDIA app\NvContainer\NvContainerLocalSystem.log"" -l 3 -d ""C:\Program Files\NVIDIA Corporation\NvContainer\plugins\LocalSystem"" -r -p 30000  -ert",C:\Windows\System32\services.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" set /p=""23845"" 1>alpuid.altemp""",C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,"C:\WINDOWS\system32\cmd.exe  /S /D /c"" ECHO """,C:\Windows\System32\cmd.exe
C:\Windows\System32\conhost.exe,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,C:\Windows\System32\cmd.exe
C:\Windows\System32\cmd.exe,cmd.exe /C C:\WINDOWS\TEMP\pld32C2.tmp.bat T1552.004  --use-cleanup,C:\Windows\System32\rphcp.exe
C:\Windows\System32\RuntimeBroker.exe,C:\Windows\System32\RuntimeBroker.exe -Embedding,C:\Windows\System32\svchost.exe
C:\Windows\System32\backgroundTaskHost.exe,"""C:\WINDOWS\system32\BackgroundTaskHost.exe"" -ServerName:BackgroundTaskHost.WebAccountProvider",C:\Windows\System32\svchost.exe
C:\Windows\System32\omadmclient.exe,"""C:\WINDOWS\system32\omadmclient.exe"" /serverid ""18092B5C-33C5-410F-8B67-4C8DC2748E95"" /lookuptype 1 /initiator 0",C:\Windows\System32\svchost.exe
C:\Windows\System32\omadmprc.exe,"""C:\WINDOWS\system32\omadmprc.exe""",C:\Windows\System32\svchost.exe
C:\Windows\System32\svchost.exe,C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s dmwappushservice,C:\Windows\System32\services.exe
